instance_id,model_name,architecture,input_type,perturbation_type,input_text,gold_mention,gold_cui,generated_answer,mapping_mode
mm_0198476,FLAN-T5-base,generative,original,original,"17β-Estradiol (E2) administration, not Progesterone (P4), to OVX female stress mice, mitigated despair and enhanced hedonic capacity with an increased expression of BDNF in PFC.",stress,UMLS:C0038435,17-Estradiol,text-generation
mm_0168205,FLAN-T5-base,generative,original,original,"The effects of probiotic and synbiotic supplementation on metabolic syndrome indices in adults at risk of type 2 diabetes: study protocol for a randomized controlled trial The incidence of type 2 diabetes, cardiovascular diseases, and obesity has been rising dramatically; however, their pathogenesis is particularly intriguing.",probiotic,UMLS:C0525033,probiotic,text-generation
mm_0114471,FLAN-T5-base,generative,original,original,We presented mantises with moving gratings of varying horizontal extents at three different contrasts in the central or peripheral regions of their visual fields.,regions,UMLS:C0205147,mantises,text-generation
mm_0132151,FLAN-T5-base,generative,original,original,"Our findings highlight the key role of surface chemistry in cell - multilayer film interactions, and these engineered nanocoatings represent a tunable model of cell adhesive and non-adhesive multilayered films.",cell,UMLS:C0007634,nanocoatings,text-generation
mm_0137480,FLAN-T5-base,generative,original,original,"Treatment -related mean ± standard deviation changes in heart rate (GXR: 1.8 ± 12 beats per minute [bpm] decrease; placebo: 0.5 ± 11 bpm decrease), systolic blood pressure (GXR: 2.3 ± 11 mm Hg decrease; placebo: 1.7 ± 11 mm Hg decrease), or diastolic blood pressure (GXR: 1.3 ± 9 mm Hg decrease; placebo: 0.9 ± 7 mm Hg increase) were similar between treatment groups.",groups,UMLS:C1257890,heart rate,text-generation
mm_0050616,FLAN-T5-base,generative,original,original,"Angptl4 expression and the phosphorylation levels of several insulin signaling pathway‑associated genes, insulin receptor substrate 1, protein kinase B, janus kinase 2, signal transducer and activator of transcription 3 were downregulated in the liver samples.",janus kinase 2,UMLS:C1527619,Angptl4,text-generation
mm_0075268,FLAN-T5-base,generative,original,original,salar population little affected by interbreeding with feral farm escapes.,feral farm,UMLS:C0557759,animal,text-generation
mm_0075901,FLAN-T5-base,generative,original,original,Soaking of ScECM4 crystals with GS-menadione results in a structure where glutathione forms a mixed disulfide bond with the cysteine 46.,ScECM4,UMLS:C0033684,crystal structure,text-generation
mm_0120160,FLAN-T5-base,generative,original,original,"Finally, contamination free cultures were obtained when streptocycline (100 μg/ml) and gentamicin sulphate (75 μg/ml) were added into the medium.",cultures,UMLS:C0430400,culture,text-generation
mm_0177411,FLAN-T5-base,generative,original,original,Laser capture micro-dissection of sliced tumor samples coupled with CTCE -based point mutation assays provides an effective and practical means to obtain maps of mitochondrial mutational heteroplasmy within human tumors.,mitochondrial,UMLS:C0026237,micro-dissection,text-generation
mm_0119071,FLAN-T5-base,generative,original,original,A Double-Blind Randomized Controlled Trial of Maternal Postpartum Deworming to Improve Infant Weight Gain in the Peruvian Amazon Nutritional interventions targeting the critical growth and development period before two years of age can have the greatest impact on health trajectories over the life course.,Randomized Controlled Trial,UMLS:C0206035,nutrition,text-generation
mm_0090314,FLAN-T5-base,generative,original,original,An independent assumption-free voxel-wise analysis identified strategic voxels in these same tracts.,tracts,UMLS:C1185740,voxels,text-generation
mm_0098216,FLAN-T5-base,generative,original,original,A trial to determine whether septic shock - reversal is quicker in pediatric patients randomized to an early goal-directed fluid-sparing strategy versus usual care (SQUEEZE): study protocol for a pilot randomized controlled trial Current pediatric septic shock resuscitation guidelines from the American College of Critical Care Medicine focus on the early and goal-directed administration of intravascular fluid followed by vasoactive medication infusions for persistent and fluid-refractory shock.,randomized,UMLS:C0034656,septic shock,text-generation
mm_0142698,FLAN-T5-base,generative,original,original,"ST23-K1 HMKP isolates (84.2%, 16/19) were associated with PLA, while ST65-K2 isolates were correlated with more types of infections relative to ST23-K1 isolates.",isolates,UMLS:C1764827,pathogen,text-generation
mm_0076241,FLAN-T5-base,generative,original,original,The first cryoenergy application was performed in close proximity to the position during isolation of the left superior pulmonary vein (PV).,proximity,UMLS:C1514583,cryoenergy,text-generation
mm_0007303,FLAN-T5-base,generative,original,original,"This single-arm, open-label study of axitinib evaluated the efficacy, safety, and quality of life (QoL) in patients with mRCC whose disease progressed after one prior systemic first-line regimen.",progressed,UMLS:C0242656,axitinib,text-generation
mm_0181222,FLAN-T5-base,generative,original,original,A major challenge nowadays is to identify novel biomarkers to detect as early as possible metabolic dysfunction and to predict evolution of health status in order to refine nutritional advices to specific population groups.,detect,UMLS:C0442726,metabolic dysfunction,text-generation
mm_0126004,FLAN-T5-base,generative,original,original,"The K(+) above the top G-tetrad is prone to leak into environment and the 5'-adenine quickly flips over the top G-tetrad, leading to the bottom gate of G-tetrads as the only viable pathway of K(+) binding.",top,UMLS:C1704458,K(+),text-generation
mm_0045515,FLAN-T5-base,generative,original,original,Cases of congenital syndactyly received surgery between the ages of 8 and 11 months.,surgery,UMLS:C0543467,congenital,text-generation
mm_0199662,FLAN-T5-base,generative,original,original,Knowledge of their role in regulating the absorption and handling of dietary fats is incomplete.,handling,UMLS:C1832073,fats,text-generation
mm_0103736,FLAN-T5-base,generative,original,original,"Also, fluorescence spectroscopy exhibited the increased number of tryptophan on surface of both lipases.",lipases,UMLS:C0023764,fluorescence,text-generation
mm_0038623,FLAN-T5-base,generative,original,original,Truncated Bovine Integrin Alpha-v/Beta-6 as a Universal Capture Ligand for FMD Diagnosis Foot-and-mouth disease (FMD) is endemic in many regions of the world and is one of the most prevalent epizootic animal diseases.,Diagnosis,UMLS:C0011900,foot-and-mouth disease,text-generation
mm_0168214,FLAN-T5-base,generative,original,original,"The effects of probiotic and synbiotic supplementation on metabolic syndrome indices in adults at risk of type 2 diabetes: study protocol for a randomized controlled trial The incidence of type 2 diabetes, cardiovascular diseases, and obesity has been rising dramatically; however, their pathogenesis is particularly intriguing.",obesity,UMLS:C0028754,probiotic,text-generation
mm_0151426,FLAN-T5-base,generative,original,original,We performed a basin-wide analysis of pre-Columbian impacts on Amazonian forests by overlaying known archaeological sites in Amazonia with the distributions and abundances of 85 woody species domesticated by pre-Columbian peoples.,species,UMLS:C1705920,pre-Columbian,text-generation
mm_0094060,FLAN-T5-base,generative,original,original,"In addition, the expression of stem cells markers CD146 and STRO-1 was increased in the cells treated with 5-20% B-CSM, but decreased with 40-60%.",markers,UMLS:C0005516,stem cell,text-generation
mm_0061265,FLAN-T5-base,generative,original,original,"DNA methylation detection at single base resolution using targeted next generation bisulfite sequencing and cross validation using capillary sequencing With a purpose of accurate and simultaneous determination of DNA methylation from multiple loci in multiple samples, here, we are demonstrating a method to aid rapid DNA methylation detection of genomic sequences.",method,UMLS:C0025663,DNA methylation detection,text-generation
mm_0199885,FLAN-T5-base,generative,original,original,"All the GRL - treated mice, especially those administered GRL prior to the conditioning regimen, exhibited more intact thymic architecture and a more rapid restoration of CD4 T lymphocytes after BMT than those of the corresponding control mice.",GRL,UMLS:C0911014,BMT,text-generation
mm_0029538,FLAN-T5-base,generative,original,original,"Hospitalist Co-management of Pediatric Orthopaedic Surgical Patients at a Community Hospital The benefits of hospitalist co-management of pediatric surgical patients include bettering patient safety, decreasing negative patient outcomes, providing comprehensive medical care, and establishing a dedicated resource to patients for postoperative care.",comprehensive medical care,UMLS:C0009586,hospitalist,text-generation
mm_0009327,FLAN-T5-base,generative,original,original,"Here, we investigated how hypoxic conditions influence human T cell functions and found that, in contrast to naive and central memory T cells (TN and TCM), hypoxia enhances the proliferation, viability, and cytotoxic action of effector memory T cells (TEM).",TCM,UMLS:C4289823,hypoxia,text-generation
mm_0084175,FLAN-T5-base,generative,original,original,Further probing revealed that the negative effect of ASD symptoms on pretend play was simultaneously moderated by both variables: low ToM and high verbal ability both related to less pretend play production among children with more ASD symptoms.,symptoms,UMLS:C1457887,ASD,text-generation
mm_0108849,FLAN-T5-base,generative,original,original,"Moreover, in HEK cells expressing KLHL3 and WNK4, we showed that the activation of protein kinase C by phorbol 12-myristate 13-acetate induces KLHL3(S433-P) and increases WNK4 levels by abrogating its ubiquitination.",KLHL3,UMLS:C4042100,protein kinase,text-generation
mm_0152683,FLAN-T5-base,generative,original,original,"During routine laparoscopic exploration, right vas deferens and testicular vessels were entering the right internal inguinal ring so right inguinal exploration was done, which revealed blind ending vas deferens and testicular vessels and the left testis was found intra-abdominally near the left internal ring with a mass on its upper pole.",left testis,UMLS:C0227998,vas deferens,text-generation
mm_0061750,FLAN-T5-base,generative,original,original,Peptide -based vaccination against OPN integrin binding sites does not improve cardio-metabolic disease in mice Obesity causes insulin resistance via a chronic low-grade inflammation.,Peptide,UMLS:C0030956,obesity,text-generation
mm_0173765,FLAN-T5-base,generative,original,original,Silkworm silk is a naturally occurring biomaterial.,Silkworm,UMLS:C0037119,silk,text-generation
mm_0056989,FLAN-T5-base,generative,original,original,"Record of a new species of the genus Viridopromontorius Luna de Carvalho (Strepsiptera: Corioxenidae) from India with a revised key to Corioxenidae A new species of the genus Viridopromontorius Luna de Carvalho is described from West Bengal, India.",Viridopromontorius Luna de Carvalho,UMLS:C1015514,concept,text-generation
mm_0022147,FLAN-T5-base,generative,original,original,In 2015 we treated two patients for very large symptomatic GCH (15.7 and 25.0 cm) with bipolar RFA during open laparotomy.,open laparotomy,UMLS:C0023038,laparotomy,text-generation
mm_0056292,FLAN-T5-base,generative,original,original,All of the implants were clinically stable during a mean follow-up period of 39.2 months.,follow-up,UMLS:C1522577,implant,text-generation
mm_0126513,FLAN-T5-base,generative,original,original,"There was no significant effect on PAM-13 (estimated mean difference (emd) -0.41, 95% CI (CI):-7.49-6.67), nor on the RAS (emd 0.02, CI:-0.27-0.31) or BASIS-32 (0.09, CI:-0.28-0.45).",RAS,UMLS:C4304837,effect,text-generation
mm_0144431,FLAN-T5-base,generative,original,original,Significance of uterine corpus tumor invasion in early-stage cervical cancer To examine characteristics and survival outcomes of women with surgically-treated cervical cancer exhibiting uterine corpus tumor invasion.,surgically-treated,UMLS:C0543467,cervical cancer,text-generation
mm_0086802,FLAN-T5-base,generative,original,original,The mRNA expression of two inducible enzymes and certain pro-inflammatory cytokines in the colorectum of each genotype was greater than in the respective WT mice.,inducible enzymes,UMLS:C0014442,pro-inflammatory cytokines,text-generation
mm_0102242,FLAN-T5-base,generative,original,original,"Patient data collection included type and duration of withdrawal (liothyronine [L-T3], levothyroxine [L-T4], or post - thyroidectomy status without hormonal replacement) and TSH measured prior to WBS (level and timing).",WBS,UMLS:C0203669,thyroidectomy,text-generation
mm_0197241,FLAN-T5-base,generative,original,original,"All but one material, a ball milled nZVI (FerMEG12), showed no toxicity in the test battery when tested in concentrations up to 100 mg/L, which is the cutoff for hazard labeling in chemicals regulation in Europe.",FerMEG12,UMLS:C0302583,chemical,text-generation
mm_0142210,FLAN-T5-base,generative,original,original,"In this study, we examined the roles of contractile dynamics of CSCs in cell invasion and delineated the underlying molecular mechanisms of their distinct cell invasion potential.",CSCs,UMLS:C1956422,cell invasion,text-generation
mm_0087360,FLAN-T5-base,generative,original,original,"Studies demonstrate, however, that a stiff ECM itself promotes fibroblast -to- myofibroblast differentiation, stimulating further ECM production.",differentiation,UMLS:C0007589,myofibroblast,text-generation
mm_0112894,FLAN-T5-base,generative,original,original,Effects of implementing 12 treatment technologies on emissions and nutrient recovery were further explored through scenario analyses; the level of implementation corresponded to levels currently achieved by forerunner countries.,nutrient,UMLS:C0678695,treatment,text-generation
mm_0044841,FLAN-T5-base,generative,original,original,"Further, we suggest that the method described here, combining a cAMP - dependent luciferase reporter assay with chimeric opsins possessing the third intracellular loop of jellyfish opsin, is a versatile approach for estimating absorption spectra of opsins with unknown signaling cascades or for which absorption spectra are difficult to obtain.",signaling cascades,UMLS:C2611812,opsin,text-generation
mm_0193015,FLAN-T5-base,generative,original,original,"There were 140 hemorrhages in nonexposed women and 9 hemorrhages in pregnant women, translating to an annual hemorrhage rate of 1.3% in nonpregnant women versus 5.7% in pregnant women (P<0.001).",nonpregnant,UMLS:C0232973,hemorrhage,text-generation
mm_0068247,FLAN-T5-base,generative,original,original,"Between August 2015 and September 2015, sixty patients (32 males and 28 females) between 40 and 70 years old were randomly allocated into two groups: Half were treated with three weekly intra-articular injections of hyaluronic acid 1.6 % (group A), while the others were treated with Syalox 300 Plus(®) (hyaluronic acid 300 mg + Boswellia serrata extract 100 mg) 1 tab / die for 20 days and afterward Syalox 150(®) (hyaluronic acid 150 mg) 1 tab / die for other 20 days (group B).",treated with,UMLS:C0332293,hyaluronic acid,text-generation
mm_0011728,FLAN-T5-base,generative,original,original,"Serum levels of ficolin-2 and ficolin-3, ficolin-3 / MASP-2 complex and ficolin-3 -mediated TCC deposition (FCN3 - TCC) were determined.",Serum,UMLS:C0229671,ficolin-2,text-generation
mm_0074294,FLAN-T5-base,generative,original,original,"The study showed that SHH signaling molecules are highly expressed in OSCC, and their expression was mainly in the cytoplasm of epithelial cells.",SHH signaling,UMLS:C3158055,SHH,text-generation
mm_0092345,FLAN-T5-base,generative,original,original,"Three measures of t-SP were assayed during reinstatement: dendritic spine morphology, alpha-amino-3-hydroxy-5-methyl-4-isoxazole propionic acid (AMPA) to N-methyl-D-aspartate (NMDA) ratios, and matrix metalloproteinase activity.",AMPA,UMLS:C0051318,t-SP,text-generation
mm_0031384,FLAN-T5-base,generative,original,original,Protective effect of epigallocatechin-3-gallate (EGCG) via Nrf2 pathway against oxalate -induced epithelial mesenchymal transition (EMT) of renal tubular cells This study evaluated effect of oxalate on epithelial mesenchymal transition (EMT) and potential anti-fibrotic property of epigallocatechin-3-gallate (EGCG).,epigallocatechin-3-gallate,UMLS:C0059438,Oxalate,text-generation
mm_0178424,FLAN-T5-base,generative,original,original,This risk was significantly lower in nonresponders who were switched to ticagrelor when compared with patients who remained on clopidogrel (2.7% versus 24.4%).,ticagrelor,UMLS:C1999375,clopidogrel,text-generation
mm_0158296,FLAN-T5-base,generative,original,original,"Platelet apheresis caused significant fluctuations in hemodynamics, reduced oxygen consumption, in addition to the compromised platelet aggregation and clotting function expected.",reduced oxygen consumption,UMLS:C1167679,platelet apheresis,text-generation
mm_0117264,FLAN-T5-base,generative,original,original,ITPR3 rs3748079 A/G and rs2229634 C/T polymorphisms were genotyped in a hospital-based study of 462 women with cervical squamous cell carcinoma (CSCC) and 921 age-matched healthy control women.,rs2229634 C/T polymorphisms,UMLS:C0752046,cervical squamous cell carcinoma,text-generation
mm_0077299,FLAN-T5-base,generative,original,original,"On average psychopathology scores and antipsychotics doses declined over time, with the latter also significantly correlating with better executive functioning.",psychopathology,UMLS:C0033927,antipsychotics,text-generation
mm_0128980,FLAN-T5-base,generative,original,original,These films were deposited by dc magnetron co-sputtering of an alloy target Ti-23Nb-0.7Ta-2Zr (at.%) and a Cu target.,Cu,UMLS:C0009968,Coating,text-generation
mm_0036097,FLAN-T5-base,generative,original,original,TSLP is upregulated in CHE and seems to counteract filaggrin expression in the skin.,expression,UMLS:C1171362,TSLP,text-generation
mm_0080962,FLAN-T5-base,generative,original,original,This bacterium also presented strong antagonistic activities against fungi and bacteria isolated from Pinus pinaster.,bacterium,UMLS:C0004611,Bacteria,text-generation
mm_0104646,FLAN-T5-base,generative,original,original,Molar loss and powder diet leads to memory deficit and modifies the mRNA expression of brain-derived neurotrophic factor in the hippocampus of adult mice It is known that tooth loss is known to be a risk factor for Alzheimer's disease and soft diet feeding induces memory impairment.,memory deficit,UMLS:C0233794,memory,text-generation
mm_0190644,FLAN-T5-base,generative,original,original,The contribution of cortical atrophy to vascular cognitive impairment in severe CSVD and whether WML affects cortical atrophy remain unknown.,cortical atrophy,UMLS:C0235946,cortical atrophy,text-generation
mm_0082839,FLAN-T5-base,generative,original,original,Mitochondria were isolated from B-lymphocytes of both groups.,B-lymphocytes,UMLS:C0004561,mitochondria,text-generation
mm_0045375,FLAN-T5-base,generative,original,original,"CS / PHEMA microgels were prepared by emulsifier-free emulsion polymerisation with N,N '-methylenebisacrylamide (MBA) as a crosslinker.",CS,UMLS:C0162969,emulsion polymerisation,text-generation
mm_0112233,FLAN-T5-base,generative,original,original,"In the present study, an O3 biomonitoring was conducted, with the S156 / R123 tool, along with a monitoring of O3 and other environmental conditions in an urban area in Athens, Greece, during the growing seasons of 2012 and 2013.",study,UMLS:C2603343,O3,text-generation
mm_0197765,FLAN-T5-base,generative,original,original,"Compared to FBS, the expression of FABP4 mRNA increased (P < 0.05) in FBS + OLA, FBS + LNA, or FBS + PAM, whereas that of C/EBPα, C/EBPβ, and ATGL increased (P < 0.05) in FBS + OLA or FBS + LNA cells.",OLA,UMLS:C0028928,FABP4,text-generation
mm_0048655,FLAN-T5-base,generative,original,original,"In this study, a natural ligand of FGFR, an engineered variant of fibroblast growth factor 1 (FGF1V), was conjugated to a potent cytotoxic drug, monomethyl auristatin E (MMAE), and used as a targeting agent for cancer cells overexpressing FGFRs, similar to antibodies in antibody-drug conjugates.",MMAE,UMLS:C1565020,FGFR,text-generation
mm_0161840,FLAN-T5-base,generative,original,original,"The objective of the study was to report on characteristics of GCO users, use and test outcomes (overall and by promotional strategy) during this pilot phase.",report,UMLS:C0700287,GCO,text-generation
mm_0198970,FLAN-T5-base,generative,original,original,Gamma Knife Radiosurgery for Idiopathic Trigeminal Neuralgia; does the status of offending vessels influence on pain control or side effects?,Idiopathic Trigeminal Neuralgia,UMLS:C0393786,Gamma Knife Radiosurgery,text-generation
mm_0132655,FLAN-T5-base,generative,original,original,"Directing traffic on DNA -How transcription factors relieve or induce transcriptional interference Transcriptional interference (TI) is increasingly recognized as a widespread mechanism of gene control, particularly given the pervasive nature of transcription, both sense and antisense, across all kingdoms of life.",gene control,UMLS:C0017263,transcription,text-generation
mm_0021420,FLAN-T5-base,generative,original,original,"No statistically significant differences were found for hemorrhagic events (p = 0.07), venous thromboembolic events (p = 0.13), or fatal adverse events (p = 0.26).",venous thromboembolic,UMLS:C1861172,hemorrhagic events,text-generation
mm_0130631,FLAN-T5-base,generative,original,original,"The detoxification response of Rhynchophorus ferrugineus larvae determined by the quantitative expression of cytochrome P450, esterases, and glutathione S-transferase revealed enhanced expression among moderately toxic and ineffective compounds.",cytochrome P450,UMLS:C0010762,detoxification,text-generation
mm_0123712,FLAN-T5-base,generative,original,original,"The study of APMV and human cells interaction revealed that the virus is able to evade the IFN system by inhibiting the regulation of interferon -stimulated genes, suggesting that the virus and humans have had host-pathogen interactions.",virus,UMLS:C1671055,viruses,text-generation
mm_0007063,FLAN-T5-base,generative,original,original,Several factors are suspected to mediate the course of infection and pathogenesis of DENV infection.,infection,UMLS:C0439663,infection,text-generation
mm_0164466,FLAN-T5-base,generative,original,original,"However, there was no between-group difference in subjective functional outcomes: 4 of 51 patients receiving ACC (8%) and 5 of 20 receiving IHCC (25%) were satisfied (P = .50) and 45 of 51 receiving ACC (88%) and 15 of 20 receiving IHCC (75%) were very satisfied (P = .15).",ACC,UMLS:C0181074,outcome,text-generation
mm_0166771,FLAN-T5-base,generative,original,original,"Our results demonstrate a novel therapeutic paradigm for residual cancer, in which multiple classes of allotransplant leukocytes can be armed by MYXV ex vivo to enhance the graft-versus-tumor effects.",residual cancer,UMLS:C0242594,MYXV,text-generation
mm_0168156,FLAN-T5-base,generative,original,original,Low copy numbers of FCGR3A and FCGR3B associated with Chinese patients with SLE and AASV Low-affinity Fcγ receptors (FcγR) act as key mediators of the pathogenic effects of autoantibodies.,autoantibodies,UMLS:C0004358,pathogenic effects of autoantibodies,text-generation
mm_0015061,FLAN-T5-base,generative,original,original,A high proportion of patients with recurrent episodes of NTM infection or a history of zoster and dNTM infection had initial nAIGA titers ≥10 dilution (P < 0.05).,zoster,UMLS:C0019360,nAIGA,text-generation
mm_0070124,FLAN-T5-base,generative,original,original,"Short-term Variability of Vitamin D -Related Biomarkers Quantifying the variability of biomarkers is important, as high within-person variability can lead to misclassification of individuals.",misclassification,UMLS:C0008902,Vitamin D,text-generation
mm_0176770,FLAN-T5-base,generative,original,original,"For the estimates of pets which may provoke problems in managing a veterinary or zoonotic disease we reviewed the literature and defined a comprehensive suite of ownership classes for cats and dogs, collated estimates of the sub-populations for each ownership class as well as their rates of interaction and produced a coherent scaled description of the structure of the national population.",pets,UMLS:C0031268,pet,text-generation
mm_0108371,FLAN-T5-base,generative,original,original,Our study supports the evaluation of aspirin and PI3K pathway inhibitors as a combination therapy for targeting breast cancer.,evaluation,UMLS:C0220825,aspirin,text-generation
mm_0008783,FLAN-T5-base,generative,original,original,"The main components identified in each species were: cembratrienol (25.4 %) in Piper augustum; β-pinene (26.6 %) in Piper corrugatum; α-pinene (19.4 %) in Piper curtispicum; trans-β-farnesene (63.7 %) in Piper darienense; p-cymene (43.9 %) in Piper grande; dillapiole (57.7 %) in Piper hispidum; linalool (14.5 %), α-phellandrene (13.8 %), and limonene (12.2 %) in Piper jacquemontianum; β-caryophyllene (45.2 %) in Piper longispicum; linalool (16.5 %), α-phellandrene (11.8 %), limonene (11.4 %), and p-cymene (9.0 %) in Piper multiplinervium; β-selinene (19.0 %), β-elemene (16.1 %), and α-selinene (15.5 %) in Piper reticulatum; and germacrene D (19.7 %) in Piper trigonum.",p-cymene,UMLS:C0048220,Piper,text-generation
mm_0042594,FLAN-T5-base,generative,original,original,"DNG, NETA, and MPA suppressed the secretion of interleukin (IL)-6, IL-8, and monocyte chemotactic protein (MCP)-1 from ESC.",NETA,UMLS:C0068980,immunotherapy,text-generation
mm_0043706,FLAN-T5-base,generative,original,original,"In the present study, four different screw -fixed interlocking systems for FINs (Hofer TwinPlug with two 3-mm titanium interlocking screws, Hofer FixPlug with 3-mm titanium interlocking screw, Hofer Plug with 3.5-mm titanium interlocking screw, and Hofer Plug with 3-mm titanium interlocking screw) in comparison with the commonly used Ender stainless steel nails (locked with 3.5-mm screw) were experimentally investigated in cadaveric lamb tibiae, regarding their load characteristics and failure modes in the case of heavy loading.",interlocking screw,UMLS:C0441273,screw - fixed interlocking systems,text-generation
mm_0144945,FLAN-T5-base,generative,original,original,"We summarize a pragmatic approach to autoantibody testing and management in severe mental illness in order to promptly diagnose AE and advocate a research - orientated experimental medicine paradigm for SNAps, where there is greater equipoise.",SNAps,UMLS:C0004936,autoantibody testing,text-generation
mm_0030830,FLAN-T5-base,generative,original,original,There was no significant difference between microstructure parameters calculated on low - dose SIR and standard - dose FBP images.,images,UMLS:C1704254,microstructure,text-generation
mm_0052329,FLAN-T5-base,generative,original,original,"Trajectories of the head, shoulder, and hip joint (bilaterally) were recorded at 1,000 Hz by a 3D motion capture system.",3D,UMLS:C0450363,motion capture,text-generation
mm_0004408,FLAN-T5-base,generative,original,original,"Data suggest that the cells were able to cope with subnanomolar MeHg exposure, but this tolerance resulted in a significant cost to the cell energy and reserve metabolism as well as ample changes in the nutrition and motility of C.",MeHg,UMLS:C0025794,cell,text-generation
mm_0008028,FLAN-T5-base,generative,original,original,Efficient patient modeling for visuo - haptic VR simulation using a generic patient atlas This work presents a new time-saving virtual patient modeling system by way of example for an existing visuo - haptic training and planning virtual reality (VR) system for percutaneous transhepatic cholangio-drainage (PTCD).,modeling,UMLS:C0870071,Efficient patient modeling for visuo - haptic VR simulation using a generic patient atlas,text-generation
mm_0138166,FLAN-T5-base,generative,original,original,Os subtibiale: Mimicking medial malleolar fracture a report of three cases and review of literature There are numerous sesamoids and accessory ossicles around the foot which can easily be misdiagnosed as fractures.,cases,UMLS:C0150093,fracture,text-generation
mm_0192165,FLAN-T5-base,generative,original,original,"We performed temporary test clamping of the SRS before direct ligation and applied PV pressure monitoring in patients who showed signs of portal hypertension, such as bowel edema.",pressure,UMLS:C0005823,portal hypertension,text-generation
mm_0128830,FLAN-T5-base,generative,original,original,Serine Phosphorylation of SLP76 Is Dispensable for T Cell Development but Modulates Helper T Cell Function The adapter protein SLP76 is a key orchestrator of T cell receptor (TCR) signal transduction.,adapter protein,UMLS:C1449886,protein,text-generation
mm_0076906,FLAN-T5-base,generative,original,original,Asymmetry of lumbopelvic movement patterns during active hip abduction is a risk factor for low back pain development during standing An induced-pain paradigm has been used in back - healthy people to understand risk factors for developing low back pain (LBP) during prolonged standing.,people,UMLS:C0027361,low back pain,text-generation
mm_0091036,FLAN-T5-base,generative,original,original,"The changes in hemodynamic parameters, HIF-1α protein expression levels, mitochondrial respiratory function and enzyme activity, mitochondrial reactive oxygen species (ROS) production rates, and mitochondrial ultrastructure were measured or observed.",mitochondrial,UMLS:C0026237,hemodynamic parameters,text-generation
mm_0085078,FLAN-T5-base,generative,original,original,"In 51 elderly male subjects with COPD, chest and abdominal wall mobility, FVC, FEV1, FEV1/FVC, maximal inspiratory pressure (PImax), maximal expiratory pressure (PEmax), and the 6-min walk distance (6MWD) were assessed.",chest,UMLS:C0817096,COPD,text-generation
mm_0080783,FLAN-T5-base,generative,original,original,Single-Nucleotide Polymorphism rs17611 of Complement Component 5 Shows Association with Ischemic Stroke in Northeast Chinese Population Complement component 5 (C5) has been described to play an important role in the development and progression of atherosclerosis and cardiovascular disease.,Northeast Chinese Population,UMLS:C0152035,Complement component 5,text-generation
